date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 29-Jan 1, 2018",New Year's long wknd,"$226,045,913",-,"$253,441,683",-,67,Star Wars: Episode VIII - The Last Jedi,52
Dec 29-31,,"$173,344,651",+5.5%,"$194,096,602",+8.9%,74,Star Wars: Episode VIII - The Last Jedi,52
Dec 22-25,Christmas long wknd,"$236,559,567",-,"$259,567,981",-,62,Star Wars: Episode VIII - The Last Jedi,51
Dec 22-24,,"$164,303,262",-38.5%,"$178,168,406",-35.9%,72,Star Wars: Episode VIII - The Last Jedi,51
Dec 15-17,,"$267,186,366",+278.2%,"$278,067,957",+227.6%,86,Star Wars: Episode VIII - The Last Jedi,50
Dec 8-10,,"$70,644,026",-27%,"$84,873,861",-19.4%,108,Coco,49
Dec 1-3,Post-Thanksgiving,"$96,708,952",-45.8%,"$105,270,560",-44.3%,111,Coco,48
Nov 24-26,Thanksgiving 3-Day,"$178,495,539",-7.4%,"$188,835,224",-5.2%,99,Coco,47
Nov 23-26,Thanksgiving 4-Day,"$212,423,997",-,"$222,844,449",-,60,Coco,47
Nov 22-26,Thanksgiving 5-Day,"$255,508,291",-,"$267,474,764",-,61,Coco,47
Nov 17-19,,"$192,816,366",+39.9%,"$199,223,159",+31.4%,111,Justice League,46
Nov 10-12,,"$137,873,693",-16.3%,"$151,562,937",-15.9%,124,Thor: Ragnarok,45
Nov 3-5,,"$164,643,982",+184.4%,"$180,275,276",+134.6%,126,Thor: Ragnarok,44
Oct 27-29,,"$57,899,380",-24.2%,"$76,856,088",-19.9%,128,Jigsaw,43
Oct 20-22,,"$76,408,192",-13.9%,"$95,980,741",-4.5%,137,Boo 2! A Madea Halloween,42
Oct 13-15,,"$88,765,700",-8.5%,"$100,461,379",-4.8%,135,Happy Death Day,41
Oct 6-9,Indig. Peoples' Day wknd,"$112,153,933",-,"$121,081,241",-,67,Blade Runner 2049,40
Oct 6-8,,"$97,001,069",+20.9%,"$105,557,205",+16.2%,132,Blade Runner 2049,40
Sep 29-Oct 1,,"$80,260,428",-26%,"$90,846,336",-23%,131,Kingsman: The Golden Circle,39
Sep 22-24,,"$108,472,634",+6.8%,"$117,918,784",+5.1%,131,Kingsman: The Golden Circle,38
Sep 15-17,,"$101,574,131",-33.6%,"$112,222,203",-31.6%,143,It,37
Sep 8-10,,"$153,028,668",+213.2%,"$164,044,803",+111.3%,135,It,36
