date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 29-Jan 1, 2001",New Year's long wknd,"$152,276,541",-,"$183,301,778",-,62,Cast Away,52
Dec 29-31,,"$112,259,849",+21.4%,"$117,315,948",+26.6%,21,Cast Away,52
Dec 22-25,Christmas long wknd,"$138,380,803",-,"$154,863,416",-,61,Cast Away,51
Dec 22-24,,"$92,504,427",-3.9%,"$92,663,044",-12.3%,16,Cast Away,51
Dec 15-17,,"$96,241,758",+24.1%,"$105,602,850",+20.7%,59,What Women Want,50
Dec 8-10,,"$77,568,179",-3.1%,"$87,458,310",-1.3%,61,How the Grinch Stole Christmas,49
Dec 1-3,Post-Thanksgiving,"$80,009,485",-51%,"$88,566,388",-49.8%,60,How the Grinch Stole Christmas,48
Nov 24-26,Thanksgiving 3-Day,"$163,233,836",+13.9%,"$176,551,210",+14.1%,63,How the Grinch Stole Christmas,47
Nov 23-26,Thanksgiving 4-Day,"$162,812,121",-,"$163,017,420",-,12,How the Grinch Stole Christmas,47
Nov 22-26,Thanksgiving 5-Day,"$185,156,440",-,"$185,379,900",-,12,How the Grinch Stole Christmas,47
Nov 17-19,,"$143,270,337",+54.5%,"$154,700,471",+46.9%,61,How the Grinch Stole Christmas,46
Nov 10-12,,"$92,712,524",+0.4%,"$105,275,044",+0.9%,62,Charlie's Angels,45
Nov 3-5,,"$92,320,475",+36%,"$104,366,060",+28.4%,69,Charlie's Angels,44
Oct 27-29,,"$67,898,055",+0.8%,"$81,274,852",+0.8%,74,Meet the Parents,43
Oct 20-22,,"$67,346,403",-4.4%,"$80,643,518",-3.7%,65,Meet the Parents,42
Oct 13-15,,"$70,466,230",-4.8%,"$83,746,624",-3.8%,65,Meet the Parents,41
Oct 6-9,Indig. Peoples' Day wknd,"$61,203,642",-,"$61,203,642",-,10,Meet the Parents,40
Oct 6-8,,"$74,008,718",+47.3%,"$87,052,896",+34%,64,Meet the Parents,40
Sep 29-Oct 1,Sydney Olympics,"$50,235,733",+12.8%,"$64,957,895",+4.2%,65,Remember the Titans,39
Sep 22-24,Sydney Olympics,"$44,541,332",+28.1%,"$62,338,330",+16.1%,71,Urban Legends: Final Cut,38
Sep 15-17,Sydney Olympics,"$34,760,709",-16.6%,"$53,693,969",-11.8%,71,The Watcher,37
Sep 8-10,,"$41,681,570",-6.8%,"$60,869,331",+24.4%,67,The Watcher,36
Sep 1-3,,"$44,741,276",-35.6%,"$48,935,304",-46.5%,17,Bring It On,35
