date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 27-29,,"$167,837,974",+24.5%,"$197,177,755",+37.3%,81,The Hobbit: The Desolation of Smaug,52
Dec 20-22,,"$134,837,792",-2.6%,"$143,571,365",-2.8%,80,The Hobbit: The Desolation of Smaug,51
Dec 13-15,,"$138,369,003",+64.8%,"$147,702,714",+56.2%,94,The Hobbit: The Desolation of Smaug,50
Dec 6-8,Post-Thanksgiving,"$83,941,456",-55.7%,"$94,535,353",-54.6%,96,Frozen,49
Nov 29-Dec 1,Thanksgiving 3-Day,"$189,483,142",-11.7%,"$208,125,032",-8.1%,104,The Hunger Games: Catching Fire,48
Nov 28-Dec 1,Thanksgiving 4-Day,"$224,232,953",-,"$244,535,600",-,50,The Hunger Games: Catching Fire,48
Nov 27-Dec 1,Thanksgiving 5-Day,"$268,488,814",-,"$292,303,215",-,50,The Hunger Games: Catching Fire,48
Nov 22-24,,"$214,593,579",+86.4%,"$226,500,439",+77.9%,109,The Hunger Games: Catching Fire,47
Nov 15-17,,"$115,112,784",-27.1%,"$127,348,048",-24.2%,117,Thor: The Dark World,46
Nov 8-10,,"$157,930,421",+36.2%,"$167,996,561",+31.2%,124,Thor: The Dark World,45
Nov 1-3,,"$115,987,099",+24.3%,"$128,021,451",+24.3%,120,Ender's Game,44
Oct 25-27,,"$93,288,479",+2.8%,"$103,005,325",-1.4%,117,Jackass Presents: Bad Grandpa,43
Oct 18-20,,"$90,753,518",-12.3%,"$104,483,096",-10.3%,121,Gravity,42
Oct 11-13,,"$103,432,837",-7.2%,"$116,527,523",-8%,116,Gravity,41
Oct 11-14,Indig. Peoples' Day wknd,"$119,207,873",-,"$131,493,515",-,54,Gravity,41
Oct 4-6,,"$111,457,653",+21.7%,"$126,592,855",+17%,132,Gravity,40
Sep 27-29,,"$91,565,449",+31.1%,"$108,160,536",+23.9%,135,Cloudy with a Chance of Meatballs 2,39
Sep 20-22,,"$69,831,206",-19.3%,"$87,331,800",-15.7%,141,Prisoners,38
Sep 13-15,,"$86,531,368",+40.3%,"$103,651,335",+21.9%,134,Insidious: Chapter 2,37
Sep 6-8,,"$61,672,745",-27.4%,"$85,014,635",-32%,135,Riddick,36
Aug 30-Sep 1,,"$84,942,972",+1.3%,"$124,995,564",+13.8%,117,One Direction: This Is Us,35
Aug 30-Sep 2,Labor Day wknd,"$110,020,537",-,"$162,136,448",-,112,The Butler,35
Aug 23-25,,"$83,842,081",-26.2%,"$109,886,108",-21.2%,116,The Butler,34
Aug 16-18,,"$113,572,527",-17.5%,"$139,521,935",-12.4%,116,The Butler,33
Aug 9-11,,"$137,650,749",+16.7%,"$159,265,982",+15.3%,103,Elysium,32
Aug 2-4,,"$117,938,083",-22.3%,"$138,139,733",-19.9%,100,2 Guns,31
Jul 26-28,,"$151,703,400",-13%,"$172,372,267",-11.9%,104,The Wolverine,30
Jul 19-21,,"$174,305,736",-5.2%,"$195,751,234",-0.5%,109,The Conjuring,29
Jul 12-14,,"$183,777,279",-16.2%,"$196,649,715",-14.4%,109,Despicable Me 2,28
Jul 5-7,,"$219,263,985",+21.5%,"$229,781,413",+20.5%,95,Despicable Me 2,27
Jun 28-30,,"$180,411,163",-21.1%,"$190,698,431",-20.7%,104,Monsters University,26
