date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 27-29,,"$149,298,188",+17.9%,"$179,559,016",+23.9%,127,The Lord of the Rings: The Two Towers,52
Dec 20-22,,"$126,680,212",+45.7%,"$144,943,896",+40.1%,110,The Lord of the Rings: The Two Towers,51
Dec 13-15,,"$86,924,905",+36.2%,"$103,432,236",+26.4%,127,Maid in Manhattan,50
Dec 6-8,Post-Thanksgiving,"$63,842,353",-49.8%,"$81,830,292",-45.7%,126,Die Another Day,49
Nov 29-Dec 1,Thanksgiving 3-Day,"$127,058,801",-10.3%,"$150,780,433",-2.8%,132,Harry Potter and the Chamber of Secrets,48
Nov 28-Dec 1,Thanksgiving 4-Day,"$157,209,548",-,"$173,741,378",-,39,Die Another Day,48
Nov 27-Dec 1,Thanksgiving 5-Day,"$182,703,629",-,"$200,863,359",-,39,Die Another Day,48
Nov 22-24,,"$141,700,919",-10.8%,"$155,115,955",-10.4%,139,Die Another Day,47
Nov 15-17,,"$158,828,971",+26.3%,"$173,175,805",+19.4%,144,Harry Potter and the Chamber of Secrets,46
Nov 8-10,,"$125,751,491",+28.5%,"$145,016,048",+22.3%,148,8 Mile,45
Nov 1-3,,"$97,888,832",+19.7%,"$118,568,876",+11.2%,153,The Santa Clause 2,44
Oct 25-27,,"$81,807,831",+21%,"$106,616,719",+17.8%,151,Jackass: The Movie,43
Oct 18-20,,"$67,633,772",-22.4%,"$90,490,249",-15.4%,152,The Ring,42
Oct 11-13,,"$87,173,297",-11.2%,"$106,978,441",-3.2%,152,Red Dragon,41
Oct 11-14,Indig. Peoples' Day wknd,"$89,865,799",-,"$99,562,823",-,45,Red Dragon,41
Oct 4-6,,"$98,121,206",+10.5%,"$110,471,656",+8%,152,Red Dragon,40
Sep 27-29,,"$88,803,978",+37.5%,"$102,257,212",+27.6%,155,Sweet Home Alabama,39
Sep 20-22,,"$64,605,510",-7.3%,"$80,142,906",-5.4%,162,Barbershop,38
