date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 28-Jan 1, 1991",New Year's long wknd,"$115,870,101",-,"$134,814,585",-,24,Home Alone,52
Dec 28-30,,"$10,965,010",+38.5%,"$10,965,010",+38.5%,1,Kindergarten Cop,52
Dec 21-25,Christmas long wknd,"$66,801,669",-,"$79,529,186",-,24,Home Alone,51
Dec 21-23,,"$7,918,560",-83.4%,"$7,918,560",-84.3%,1,Kindergarten Cop,51
Dec 14-16,,"$47,620,466",+7.6%,"$50,459,864",+11.3%,14,Home Alone,50
Dec 7-9,,"$44,268,120",-16.5%,"$45,330,091",-16.8%,14,Home Alone,49
Nov 30-Dec 2,Post-Thanksgiving,"$53,003,273",-29.2%,"$54,459,183",-29.6%,14,Home Alone,48
Nov 23-25,Thanksgiving 3-Day,"$74,898,353",+45.2%,"$77,304,707",+42.1%,15,Home Alone,47
Nov 22-25,Thanksgiving 4-Day,-,-,-,-,-,-,47
Nov 21-25,Thanksgiving 5-Day,-,-,-,-,-,-,47
Nov 16-18,,"$51,581,133",+44.2%,"$54,415,221",+24.7%,14,Home Alone,46
Nov 9-11,,"$35,781,976",+15%,"$43,621,778",+16.1%,18,Child's Play 2,45
Nov 2-4,,"$31,107,431",+0.9%,"$37,587,571",+1.4%,19,Jacob's Ladder,44
Oct 26-28,,"$30,830,042",-7%,"$37,082,235",-4.5%,18,Graveyard Shift,43
Oct 19-21,,"$33,132,903",-8.7%,"$38,839,442",-4.5%,16,Marked for Death,42
Oct 12-14,,"$36,278,102","+16,034.6%","$40,681,436","+17,992.9%",20,Marked for Death,41
Oct 5-8,Indig. Peoples' Day wknd,"$42,512,770",-,"$48,703,704",-,17,Marked for Death,40
Oct 5-7,,"$224,847",-99.3%,"$224,847",-99.4%,1,Corporate Affairs,40
Sep 28-30,,"$32,770,487",-4.2%,"$34,922,115",-6.8%,14,Pacific Heights,39
Sep 21-23,,"$34,219,317",+5.2%,"$37,477,889",+5.5%,17,Goodfellas,38
Sep 14-16,,"$32,513,703",+22.2%,"$35,528,390",+5.9%,17,Postcards from the Edge,37
Sep 7-9,,"$26,610,869","+5,773.1%","$33,559,790","+7,306.8%",18,Ghost,36
Aug 31-Sep 3,Labor Day wknd,"$45,500,658",-,"$59,283,181",-,19,Ghost,35
Aug 31-Sep 2,,"$453,096",-99%,"$453,096",-99.2%,1,Total Recall,35
Aug 24-26,,"$43,625,858",-20.3%,"$54,301,291",-19%,19,Darkman,34
