date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 31-Jan 2, 2005",,"$114,961,674",+2%,"$146,324,498",+7.5%,97,Meet the Fockers,53
Dec 24-26,,"$112,673,267",+18.7%,"$136,055,907",+26.9%,103,Meet the Fockers,52
Dec 17-19,,"$94,894,514",-3.8%,"$107,253,447",+0.3%,113,A Series of Unfortunate Events,51
Dec 10-12,,"$98,593,405",+30.4%,"$106,966,751",+22.7%,125,Ocean's Twelve,50
Dec 3-5,Post-Thanksgiving,"$75,632,953",-48.4%,"$87,168,985",-46.3%,112,National Treasure,49
Nov 26-28,Thanksgiving 3-Day,"$146,437,423",+5.3%,"$162,308,348",+6.5%,117,National Treasure,48
Nov 25-28,Thanksgiving 4-Day,"$178,346,730",-,"$192,774,124",-,35,National Treasure,48
Nov 24-28,Thanksgiving 5-Day,"$205,521,213",-,"$221,908,279",-,35,National Treasure,48
Nov 19-21,,"$139,057,519",+5.9%,"$152,421,259",+5.3%,131,National Treasure,47
Nov 12-14,,"$131,257,704",-0.5%,"$144,757,930",+0.3%,128,The Incredibles,46
Nov 5-7,,"$131,864,106",+48.3%,"$144,384,462",+43.8%,127,The Incredibles,45
Oct 29-31,,"$88,903,187",-6.9%,"$100,392,989",-5.6%,141,The Grudge,44
Oct 22-24,,"$95,443,105",+10.6%,"$106,317,120",+9%,148,The Grudge,43
Oct 15-17,,"$86,263,922",-9.7%,"$97,578,266",-9.9%,151,Shark Tale,42
Oct 8-11,Indig. Peoples' Day wknd,"$106,647,546",-,"$116,070,023",-,48,Shark Tale,41
Oct 8-10,,"$95,535,064",-3.2%,"$108,261,148",-4.8%,142,Shark Tale,41
Oct 1-3,,"$98,687,284",+77.2%,"$113,687,612",+59.3%,142,Shark Tale,40
Sep 24-26,,"$55,689,771",-7.3%,"$71,379,304",-9.5%,148,The Forgotten,39
Sep 17-19,,"$60,061,974",+1.6%,"$78,833,307",-1.8%,137,Sky Captain and the World of Tomorrow,38
Sep 10-12,,"$59,095,246",+0.2%,"$80,268,102",-9.8%,125,Resident Evil: Apocalypse,37
Sep 3-5,,"$58,998,603",-25.2%,"$89,016,102",-14.4%,110,Hero,36
Sep 3-6,Labor Day wknd,"$75,033,354",-,"$116,573,642",-,136,Hero,36
Aug 27-29,Athens Olympics,"$78,830,121",-18.3%,"$103,982,499",-12.9%,126,Hero,35
Aug 20-22,Athens Olympics,"$96,455,296",-19.5%,"$119,408,573",-13.2%,129,Exorcist: The Beginning,34
Aug 13-15,Athens Olympics,"$119,841,838",+27.7%,"$137,636,074",+21.5%,124,Alien vs. Predator,33
Aug 6-8,,"$93,818,029",-31.3%,"$113,304,888",-27.8%,119,Collateral,32
Jul 30-Aug 1,,"$136,648,459",+1.1%,"$156,885,192",+2.4%,124,The Village,31
Jul 23-25,,"$135,184,908",+0.5%,"$153,175,315",-0.3%,116,The Bourne Supremacy,30
Jul 16-18,,"$134,570,481",+2.1%,"$153,673,841",+3.7%,123,"I, Robot",29
Jul 9-11,,"$131,827,683",-14.5%,"$148,120,057",-10.4%,110,Spider-Man 2,28
Jul 2-5,July 4th long wknd,"$206,950,910",-,"$223,275,545",-,113,Spider-Man 2,27
Jul 2-4,,"$154,099,164",+19.3%,"$165,319,841",+10.2%,86,Spider-Man 2,27
