date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 25-27,COVID-19 Pandemic,"$23,992,583",+256.5%,"$24,529,617",+221.7%,35,Wonder Woman 1984,52
Dec 18-20,COVID-19 Pandemic,"$6,729,235",+20.2%,"$7,625,545",+13.8%,41,Monster Hunter,51
Dec 11-13,COVID-19 Pandemic,"$5,596,422",-24.7%,"$6,701,727",-20.2%,38,The Croods: A New Age,50
Dec 4-6,COVID-19 PandemicPost-Thanksgiving,"$7,435,065",-43.8%,"$8,397,393",-40.7%,41,The Croods: A New Age,49
Nov 27-29,COVID-19 PandemicThanksgiving 3-Day,"$13,230,347",+145.8%,"$14,152,936",+120.9%,41,The Croods: A New Age,48
Nov 26-29,COVID-19 PandemicThanksgiving 4-Day,"$16,639,253",-,"$17,660,248",-,29,The Croods: A New Age,48
Nov 25-29,COVID-19 PandemicThanksgiving 5-Day,"$19,086,132",-,"$20,251,599",-,36,The Croods: A New Age,48
Nov 20-22,COVID-19 Pandemic,"$5,383,632",-47.9%,"$6,407,571",-43.7%,45,Freaky,47
Nov 13-15,COVID-19 Pandemic,"$10,333,176",-3.5%,"$11,385,467",+0.2%,42,Freaky,46
Nov 6-8,COVID-19 Pandemic,"$10,713,492",+22.8%,"$11,360,646",+16.9%,44,Let Him Go,45
Oct 30-Nov 1,COVID-19 Pandemic,"$8,721,044",-8%,"$9,719,168",-12.3%,49,Come Play,44
Oct 23-25,COVID-19 Pandemic,"$9,478,057",-21.5%,"$11,083,713",-14.6%,53,Honest Thief,43
Oct 16-18,COVID-19 Pandemic,"$12,070,817",+26.7%,"$12,983,807",+24.8%,57,Honest Thief,42
Oct 9-12,COVID-19 PandemicIndig. Peoples' Day wknd,"$10,436,872",-,"$11,259,812",-,32,The War with Grandpa,41
Oct 9-11,COVID-19 Pandemic,"$9,528,676",+17.7%,"$10,403,028",+14.4%,49,The War with Grandpa,41
Oct 2-4,COVID-19 Pandemic,"$8,095,048",-5.2%,"$9,097,364",-3%,44,Tenet,40
