date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 26-28,,"$178,499,687",+46.2%,"$209,570,080",+55.1%,83,The Hobbit: The Battle of the Five Armies,52
Dec 19-21,,"$122,059,385",+65.4%,"$135,107,375",+60.8%,78,The Hobbit: The Battle of the Five Armies,51
Dec 12-14,,"$73,808,138",+8.4%,"$84,013,268",+7.5%,100,Exodus: Gods and Kings,50
Dec 5-7,Post-Thanksgiving,"$68,103,918",-55.2%,"$78,180,686",-52.3%,96,The Hunger Games: Mockingjay - Part 1,49
Nov 28-30,Thanksgiving 3-Day,"$151,851,533",-17.7%,"$163,791,775",-15.9%,97,The Hunger Games: Mockingjay - Part 1,48
Nov 27-30,Thanksgiving 4-Day,"$179,114,437",-,"$189,771,521",-,52,The Hunger Games: Mockingjay - Part 1,48
Nov 26-30,Thanksgiving 5-Day,"$214,781,730",-,"$226,978,340",-,52,The Hunger Games: Mockingjay - Part 1,48
Nov 21-23,,"$184,467,355",+46.7%,"$194,683,879",+38.5%,97,The Hunger Games: Mockingjay - Part 1,47
Nov 14-16,,"$125,728,488",-11.9%,"$140,548,635",-10.5%,108,Dumb and Dumber To,46
Nov 7-9,,"$142,643,895",+90.6%,"$157,108,227",+65.4%,121,Big Hero 6,45
Oct 31-Nov 2,,"$74,843,496",-22.9%,"$94,999,696",-18.1%,120,Ouija,44
Oct 24-26,,"$97,071,579",-15.8%,"$116,024,797",-12%,122,Ouija,43
Oct 17-19,,"$115,233,422",-12.3%,"$131,793,399",-10.6%,117,Fury,42
Oct 10-12,,"$131,383,392",-3.6%,"$147,462,707",-1.3%,122,Gone Girl,41
Oct 10-13,Indig. Peoples' Day wknd,"$150,009,908",-,"$166,940,703",-,63,Gone Girl,41
Oct 3-5,,"$136,249,161",+42%,"$149,452,204",+38.8%,123,Gone Girl,40
Sep 26-28,,"$95,966,661",+6.6%,"$107,678,203",+4.3%,131,The Equalizer,39
