date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 27-29,,"$159,403,178",+13.9%,"$171,198,996",+20.3%,90,Sonic the Hedgehog 3,52
Dec 20-22,,"$139,944,015",+59.8%,"$142,285,600",+51%,61,Sonic the Hedgehog 3,51
Dec 13-15,,"$87,557,182",-32.4%,"$94,203,336",-31.4%,71,Moana 2,50
Dec 6-8,Post-Thanksgiving,"$129,558,686",-52.9%,"$137,239,986",-50.4%,68,Moana 2,49
Nov 29-Dec 1,Thanksgiving 3-Day,"$274,782,835",+37.6%,"$276,799,127",+36.7%,53,Moana 2,48
Nov 28-Dec 1,Thanksgiving 4-Day,"$331,313,484",-,"$333,484,695",-,36,Moana 2,48
Nov 27-Dec 1,Thanksgiving 5-Day,"$421,199,078",-,"$423,943,589",-,39,Moana 2,48
Nov 22-24,,"$199,698,142",+202.9%,"$202,433,845",+189.6%,54,Wicked,47
Nov 15-17,,"$65,924,511",+6.2%,"$69,892,245",+1.5%,66,Red One,46
Nov 8-10,,"$62,096,528",-1.8%,"$68,884,541",-3.9%,67,Venom: The Last Dance,45
Nov 1-3,,"$63,211,547",-29.1%,"$71,671,598",-23.7%,73,Venom: The Last Dance,44
Oct 25-27,,"$89,097,223",+46.7%,"$93,918,456",+36.6%,68,Venom: The Last Dance,43
Oct 18-20,,"$60,750,112",-7%,"$68,762,943",-5.9%,72,Smile 2,42
Oct 11-13,,"$65,310,508",-20.5%,"$73,061,269",-17.3%,64,Terrifier 3,41
Oct 11-14,Indig. Peoples' Day wknd,"$76,691,023",-,"$85,901,076",-,53,Terrifier 3,41
Oct 4-6,,"$82,199,808",-2.6%,"$88,370,805",-5%,67,Joker: Folie à Deux,40
Sep 27-29,,"$84,351,917",+13%,"$93,033,195",+13.7%,72,The Wild Robot,39
Sep 20-22,,"$74,680,626",-13.3%,"$81,812,467",-12.7%,68,Beetlejuice Beetlejuice,38
Sep 13-15,,"$86,099,341",-39%,"$93,734,642",-36.5%,65,Beetlejuice Beetlejuice,37
Sep 6-8,,"$141,147,925",+108.1%,"$147,573,768",+79.4%,63,Beetlejuice Beetlejuice,36
Aug 30-Sep 1,,"$67,834,084",-17.6%,"$82,268,837",-7.4%,70,Deadpool & Wolverine,35
Aug 30-Sep 2,Labor Day wknd,"$87,597,444",-,"$104,893,099",-,58,Deadpool & Wolverine,35
Aug 23-25,,"$82,360,540",-38.5%,"$88,824,353",-36.7%,59,Deadpool & Wolverine,34
Aug 16-18,,"$133,867,955",-13.6%,"$140,429,047",-11%,68,Alien: Romulus,33
Aug 9-11,,"$154,916,671",-7%,"$157,697,367",-7.4%,61,Deadpool & Wolverine,32
Aug 2-4,,"$166,647,076",-41.1%,"$170,287,396",-40.2%,57,Deadpool & Wolverine,31
Jul 26-28,,"$283,134,352",+94.7%,"$284,850,131",+90.5%,63,Deadpool & Wolverine,30
Jul 19-21,,"$145,451,308",+23.4%,"$149,488,423",+21.5%,59,Twisters,29
Jul 12-14,,"$117,832,573",-22.3%,"$123,043,838",-21.2%,60,Despicable Me 4,28
Jul 5-7,,"$151,658,717",+3.2%,"$156,145,120",+1.2%,59,Despicable Me 4,27
Jun 28-30,,"$147,007,715",-0.8%,"$154,286,054",+0.4%,67,Inside Out 2,26
Jun 21-23,,"$148,254,918",-29.8%,"$153,656,712",-28.2%,71,Inside Out 2,25
Jun 14-16,,"$211,060,110",+111.6%,"$213,933,770",+105.2%,58,Inside Out 2,24
