date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 30-Jan 2, 2006",New Year's long wknd,"$159,848,290",-,"$193,881,677",-,95,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",52
"Dec 30-Jan 1, 2006",,"$123,334,934",+30.2%,"$149,600,863",+34.5%,89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",52
Dec 23-26,Christmas long wknd,"$149,695,276",-,"$176,460,617",-,89,King Kong,51
Dec 23-25,,"$94,745,376",-20.6%,"$111,233,550",-13.6%,83,King Kong,51
Dec 16-18,,"$119,305,835",+5%,"$128,755,865",+4.2%,115,King Kong,50
Dec 9-11,,"$113,612,356",+54.4%,"$123,599,934",+42.1%,129,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",49
Dec 2-4,Post-Thanksgiving,"$73,570,458",-48.6%,"$86,968,500",-47.5%,135,Harry Potter and the Goblet of Fire,48
Nov 25-27,Thanksgiving 3-Day,"$143,088,210",-15.3%,"$165,601,846",-8.6%,130,Harry Potter and the Goblet of Fire,47
Nov 24-27,Thanksgiving 4-Day,"$168,702,261",-,"$186,993,488",-,43,Harry Potter and the Goblet of Fire,47
Nov 23-27,Thanksgiving 5-Day,"$200,877,176",-,"$222,928,360",-,43,Harry Potter and the Goblet of Fire,47
Nov 18-20,,"$168,987,940",+58%,"$181,232,917",+43.3%,140,Harry Potter and the Goblet of Fire,46
Nov 11-13,,"$106,966,552",-7.3%,"$126,479,572",-6.1%,143,Chicken Little,45
Nov 4-6,,"$115,339,866",+39.7%,"$134,640,320",+31.4%,132,Chicken Little,44
Oct 28-30,,"$82,583,718",+25.7%,"$102,501,610",+14.7%,142,Saw II,43
Oct 21-23,,"$65,691,999",-0.7%,"$89,339,458",+1.4%,141,Doom,42
Oct 14-16,,"$66,154,387",-18.2%,"$88,079,308",-16.2%,140,The Fog,41
Oct 7-10,Indig. Peoples' Day wknd,"$91,725,237",-,"$113,778,846",-,47,Wallace & Gromit: The Curse of the Were-Rabbit,40
Oct 7-9,,"$80,874,687",+13.1%,"$105,088,226",+18.4%,143,Wallace & Gromit: The Curse of the Were-Rabbit,40
Sep 30-Oct 2,Hurricane Katrina,"$71,498,614",-15.2%,"$88,784,004",-11.1%,150,Flightplan,39
Sep 23-25,Hurricane Katrina,"$84,333,686",+27%,"$99,849,960",+18.5%,142,Flightplan,38
Sep 16-18,Hurricane Katrina,"$66,381,308",-6%,"$84,288,797",-2.5%,140,Just Like Heaven,37
Sep 9-11,Hurricane Katrina,"$70,635,980",-3.1%,"$86,410,517",-7%,138,The Exorcism of Emily Rose,36
Sep 2-4,Hurricane Katrina,"$72,867,782",-6.4%,"$92,929,769",-4.8%,121,Transporter 2,35
Sep 2-5,Hurricane KatrinaLabor Day wknd,"$91,625,845",-,"$117,734,958",-,131,Transporter 2,35
